"","SurveyDate","Zone","Bird","Count"
"1083",2012-02-21,"II","Great Egret",1
"1084",2012-02-21,"II","Snowy Egret",1
"1085",2012-02-21,"III","Black Phoebe",2
"1086",2012-02-21,"III","California Gull",4
"1087",2012-02-21,"III","Great Blue Heron",1
"1088",2012-02-21,"III","Great Egret",1
"1089",2012-02-21,"III","Juvenile Gull",4
"1090",2012-02-21,"III","Snowy Egret",3
"1091",2012-02-21,"III","Western Gull",5
"1092",2012-02-21,"III Rocky Outcrop","Brown Pelican",5
"1093",2012-02-21,"III Rocky Outcrop","Cormorant",5
"1094",2012-02-21,"III Rocky Outcrop","Tern",15
"1095",2012-02-21,"III Rocky Outcrop","Unidentified Gull",310
"1096",2012-02-22,"I","Great Blue Heron",2
"1097",2012-02-22,"I","Great Egret",1
"1098",2012-02-22,"I","Snowy Egret",4
"1099",2012-02-22,"II","Snowy Egret",3
"1100",2012-02-22,"II","Western Gull",2
"1101",2012-02-22,"III","Black Phoebe",1
"1102",2012-02-22,"III","Great Blue Heron",2
"1103",2012-02-22,"III","Great Egret",1
"1104",2012-02-22,"III","Snowy Egret",4
"1105",2012-02-22,"III","Wandering Tattler",1
"1106",2012-02-22,"III","Western Gull",1
"1107",2012-02-22,"III Boulders","Great Egret",1
"1108",2012-02-22,"III Rocky Outcrop","Brown Pelican",2
"1109",2012-02-22,"III Rocky Outcrop","Cormorant",2
"1110",2012-02-22,"III Rocky Outcrop","Tern",10
"1111",2012-02-22,"III Rocky Outcrop","Unidentified Gull",270
"1112",2012-03-03,"I","Snowy Egret",1
"1113",2012-03-03,"II","Cormorant",1
"1114",2012-03-03,"II","Great Blue Heron",1
"1115",2012-03-03,"II","Great Egret",1
"1116",2012-03-03,"II","Snowy Egret",2
"1117",2012-03-03,"II","Western Gull",2
"1118",2012-03-03,"III","California Gull",1
"1119",2012-03-03,"III","Great Blue Heron",1
"1120",2012-03-03,"III","Great Egret",2
"1121",2012-03-03,"III","Snowy Egret",2
"1122",2012-03-03,"III","Tern",1
"1123",2012-03-03,"III","Western Gull",2
"1124",2012-03-03,"III Rocky Outcrop","Brown Pelican",4
"1125",2012-03-03,"III Rocky Outcrop","Cormorant",5
"1126",2012-03-03,"III Rocky Outcrop","Great Egret",1
"1127",2012-03-03,"III Rocky Outcrop","Tern",18
"1128",2012-03-03,"III Rocky Outcrop","Unidentified Gull",110
"1129",2012-03-05,"I","Cormorant",1
"1130",2012-03-05,"I","Snowy Egret",1
"1131",2012-03-05,"I","Spotted Sandpiper",1
"1132",2012-03-05,"I","Western Gull",3
"1133",2012-03-05,"II","Great Egret",1
"1134",2012-03-05,"II","Snowy Egret",4
"1135",2012-03-05,"III","Great Blue Heron",2
"1136",2012-03-05,"III","Great Egret",1
"1137",2012-03-05,"III","Snowy Egret",2
"1138",2012-03-05,"III","Western Gull",5
"1139",2012-03-05,"III Rocky Outcrop","Brown Pelican",50
"1140",2012-03-05,"III Rocky Outcrop","Cormorant",7
"1141",2012-03-05,"III Rocky Outcrop","Great Blue Heron",2
"1142",2012-03-05,"III Rocky Outcrop","Tern",20
"1143",2012-03-05,"III Rocky Outcrop","Unidentified Gull",278
"1144",2012-03-06,"I","Western Gull",1
"1145",2012-03-06,"II","Snowy Egret",2
"1146",2012-03-06,"II","Western Gull",1
"1147",2012-03-06,"III","Great Blue Heron",3
"1148",2012-03-06,"III","Juvenile Gull",1
"1149",2012-03-06,"III","Snowy Egret",5
"1150",2012-03-06,"III","Western Gull",2
"1151",2012-03-06,"III Rocky Outcrop","Brown Pelican",23
"1152",2012-03-06,"III Rocky Outcrop","Cormorant",2
"1153",2012-03-06,"III Rocky Outcrop","Great Blue Heron",1
"1154",2012-03-06,"III Rocky Outcrop","Tern",58
"1155",2012-03-06,"III Rocky Outcrop","Unidentified Gull",250
"1156",2012-03-08,"I","Western Gull",2
"1157",2012-03-08,"II","Black Phoebe",1
"1158",2012-03-08,"II","Great Egret",1
"1159",2012-03-08,"II","Snowy Egret",2
"1160",2012-03-08,"II","Wandering Tattler",1
"1161",2012-03-08,"III","Black Phoebe",1
"1162",2012-03-08,"III","California Gull",2
"1163",2012-03-08,"III","Great Blue Heron",3
"1164",2012-03-08,"III","Great Egret",2
"1165",2012-03-08,"III","Juvenile Gull",3
"1166",2012-03-08,"III","Snowy Egret",3
"1167",2012-03-08,"III Rocky Outcrop","Brown Pelican",9
"1168",2012-03-08,"III Rocky Outcrop","Cormorant",7
"1169",2012-03-08,"III Rocky Outcrop","Tern",66
"1170",2012-03-08,"III Rocky Outcrop","Unidentified Gull",78
"1171",2012-03-09,"I","Spotted Sandpiper",1
"1172",2012-03-09,"I","Western Gull",1
"1173",2012-03-09,"II","Great Blue Heron",1
"1174",2012-03-09,"II","Western Gull",1
"1175",2012-03-09,"III","Black Phoebe",1
"1176",2012-03-09,"III","Great Blue Heron",2
"1177",2012-03-09,"III","Great Egret",1
"1178",2012-03-09,"III","Snowy Egret",3
"1179",2012-03-09,"III","Spotted Sandpiper",1
"1180",2012-03-09,"III Rocky Outcrop","Brown Pelican",24
"1181",2012-03-09,"III Rocky Outcrop","Cormorant",4
"1182",2012-03-09,"III Rocky Outcrop","Tern",68
"1183",2012-03-09,"III Rocky Outcrop","Unidentified Gull",75
"1184",2012-03-15,"I","Black Turnstone",1
"1185",2012-03-15,"I","Snowy Egret",1
"1186",2012-03-15,"I","Spotted Sandpiper",1
"1187",2012-03-15,"I","Western Gull",1
"1188",2012-03-15,"II","Great Blue Heron",1
"1189",2012-03-15,"II","Snowy Egret",1
"1190",2012-03-15,"II","Western Gull",3
"1191",2012-03-15,"III","Great Egret",1
"1192",2012-03-15,"III","Juvenile Gull",1
"1193",2012-03-15,"III","Snowy Egret",2
"1194",2012-03-15,"III","Spotted Sandpiper",1
"1195",2012-03-15,"III","Western Gull",1
"1196",2012-03-15,"III Boulders","Snowy Egret",1
"1197",2012-03-15,"III Rocky Outcrop","Brown Pelican",8
"1198",2012-03-15,"III Rocky Outcrop","Cormorant",2
"1199",2012-03-15,"III Rocky Outcrop","Snowy Egret",1
"1200",2012-03-15,"III Rocky Outcrop","Tern",19
"1201",2012-03-15,"III Rocky Outcrop","Unidentified Gull",23
"1202",2012-03-16,"II","Snowy Egret",2
"1203",2012-03-16,"II","Sparrow",1
"1204",2012-03-16,"II","Western Gull",2
"1205",2012-03-16,"III","Juvenile Gull",1
"1206",2012-03-16,"III","Spotted Sandpiper",1
"1207",2012-03-16,"III Rocky Outcrop","Brown Pelican",70
"1208",2012-03-16,"III Rocky Outcrop","Tern",12
"1209",2012-03-16,"III Rocky Outcrop","Unidentified Gull",34
"1210",2012-03-18,"I","Western Gull",1
"1211",2012-03-18,"II","Unidentified Gull",4
"1212",2012-03-18,"II","Wandering Tattler",2
"1213",2012-03-18,"III","Black Phoebe",1
"1214",2012-03-18,"III","Black Turnstone",1
"1215",2012-03-18,"III","Brown Pelican",25
"1216",2012-03-18,"III","Spotted Sandpiper",3
"1217",2012-03-18,"III","Unidentified Gull",65
"1218",2012-03-18,"III Rocky Outcrop","Brown Pelican",1
"1219",2012-03-18,"III Rocky Outcrop","Cormorant",8
"1220",2012-03-18,"III Rocky Outcrop","Tern",193
"1221",2012-03-18,"III Rocky Outcrop","Unidentified Gull",96
"1222",2012-03-20,"I","Western Gull",1
"1223",2012-03-20,"II","Great Egret",1
"1224",2012-03-20,"II","Western Gull",2
"1225",2012-03-20,"III","Black Phoebe",1
"1226",2012-03-20,"III","Great Blue Heron",1
"1227",2012-03-20,"III","Spotted Sandpiper",1
"1228",2012-03-20,"III","Western Gull",2
"1229",2012-03-20,"III Rocky Outcrop","Brown Pelican",31
"1230",2012-03-20,"III Rocky Outcrop","Cormorant",1
"1231",2012-03-20,"III Rocky Outcrop","Tern",35
"1232",2012-03-20,"III Rocky Outcrop","Unidentified Gull",90
"1233",2012-03-21,"I","Western Gull",1
"1234",2012-03-21,"II","Wandering Tattler",1
"1235",2012-03-21,"II","Western Gull",1
"1236",2012-03-21,"III","Black Phoebe",2
"1237",2012-03-21,"III","Great Egret",1
"1238",2012-03-21,"III","Juvenile Gull",1
"1239",2012-03-21,"III","Western Gull",1
"1240",2012-03-21,"III Rocky Outcrop","Brown Pelican",14
"1241",2012-03-21,"III Rocky Outcrop","Cormorant",4
"1242",2012-03-21,"III Rocky Outcrop","Tern",53
"1243",2012-03-21,"III Rocky Outcrop","Unidentified Gull",30
"1244",2012-03-21,"III Rocky Outcrop","Whimbrel",1
"1245",2012-04-04,"I","Snowy Egret",2
"1246",2012-04-04,"II","Great Blue Heron",2
"1247",2012-04-04,"II","Snowy Egret",2
"1248",2012-04-04,"II","Western Gull",2
"1249",2012-04-04,"III","Black Phoebe",1
"1250",2012-04-04,"III","Snowy Egret",4
"1251",2012-04-04,"III","Spotted Sandpiper",1
"1252",2012-04-04,"III","Western Gull",1
"1253",2012-04-04,"III","Whimbrel",1
"1254",2012-04-04,"III Boulders","California Gull",1
"1255",2012-04-04,"III Boulders","Western Gull",2
"1256",2012-04-04,"III Rocky Outcrop","Brown Pelican",8
"1257",2012-04-04,"III Rocky Outcrop","Cormorant",3
"1258",2012-04-04,"III Rocky Outcrop","Great Blue Heron",1
"1259",2012-04-04,"III Rocky Outcrop","Tern",35
"1260",2012-04-04,"III Rocky Outcrop","Unidentified Gull",20
"1261",2012-04-05,"I","Western Gull",1
"1262",2012-04-05,"II","Black Turnstone",1
"1263",2012-04-05,"II","Snowy Egret",3
"1264",2012-04-05,"II","Spotted Sandpiper",1
"1265",2012-04-05,"II","Wandering Tattler",1
"1266",2012-04-05,"II","Whimbrel",1
"1267",2012-04-05,"III","Belted Kingfisher",1
"1268",2012-04-05,"III","Great Egret",1
"1269",2012-04-05,"III","Snowy Egret",3
"1270",2012-04-05,"III","Spotted Sandpiper",1
"1271",2012-04-05,"III","Whimbrel",1
"1272",2012-04-05,"III Boulders","Western Gull",1
"1273",2012-04-05,"III Rocky Outcrop","Brown Pelican",6
"1274",2012-04-05,"III Rocky Outcrop","Cormorant",4
"1275",2012-04-05,"III Rocky Outcrop","Tern",90
"1276",2012-04-05,"III Rocky Outcrop","Unidentified Gull",35
"1277",2012-04-13,"I","Spotted Sandpiper",2
"1278",2012-04-13,"II","Snowy Egret",4
"1279",2012-04-13,"II","Spotted Sandpiper",1
"1280",2012-04-13,"III","Brown Pelican",1
"1281",2012-04-13,"III","Juvenile Gull",1
"1282",2012-04-13,"III","Snowy Egret",3
"1283",2012-04-13,"III","Western Gull",2
"1284",2012-04-13,"III Boulders","Juvenile Gull",1
"1285",2012-04-13,"III Boulders","Western Gull",1
"1286",2012-04-13,"III Rocky Outcrop","Brown Pelican",12
"1287",2012-04-13,"III Rocky Outcrop","Cormorant",8
"1288",2012-04-13,"III Rocky Outcrop","Tern",25
"1289",2012-04-13,"III Rocky Outcrop","Unidentified Gull",8
"1290",2012-10-14,"I","Black Phoebe",1
"1291",2012-10-14,"I","Black Turnstone",2
"1292",2012-10-14,"I","Snowy Egret",2
"1293",2012-10-14,"I","Spotted Sandpiper",3
"1294",2012-10-14,"I","Western Gull",2
"1295",2012-10-14,"II","Black Turnstone",2
"1296",2012-10-14,"II","Juvenile Gull",1
"1297",2012-10-14,"II","Western Gull",1
"1298",2012-10-14,"III","Black Phoebe",2
"1299",2012-10-14,"III","Great Blue Heron",1
"1300",2012-10-14,"III","Juvenile Gull",1
"1301",2012-10-14,"III","Snowy Egret",2
"1302",2012-10-14,"III","Spotted Sandpiper",1
"1303",2012-10-14,"III","Western Gull",3
"1304",2012-10-14,"III Rocky Outcrop","Brown Pelican",1
"1305",2012-10-14,"III Rocky Outcrop","Cormorant",6
"1306",2012-10-14,"III Rocky Outcrop","Great Egret",1
"1307",2012-10-14,"III Rocky Outcrop","Tern",13
"1308",2012-10-14,"III Rocky Outcrop","Unidentified Gull",118
"1309",2012-10-15,"I","Black Turnstone",1
"1310",2012-10-15,"I","Snowy Egret",2
"1311",2012-10-15,"I","Spotted Sandpiper",1
"1312",2012-10-15,"II","Great Blue Heron",1
"1313",2012-10-15,"II","Snowy Egret",2
"1314",2012-10-15,"II","Western Gull",2
"1315",2012-10-15,"III","Snowy Egret",3
"1316",2012-10-15,"III","Wandering Tattler",2
"1317",2012-10-15,"III","Whimbrel",2
"1318",2012-10-15,"III Boulders","Great Egret",1
"1319",2012-10-15,"III Boulders","Snowy Egret",4
"1320",2012-10-15,"III Rocky Outcrop","Brown Pelican",8
"1321",2012-10-15,"III Rocky Outcrop","Cormorant",2
"1322",2012-10-15,"III Rocky Outcrop","Tern",9
"1323",2012-10-15,"III Rocky Outcrop","Unidentified Gull",20
"1324",2012-10-28,"I","Great Egret",1
"1325",2012-10-28,"I","Snowy Egret",1
"1326",2012-10-28,"I","Spotted Sandpiper",2
"1327",2012-10-28,"I","Western Grebe",1
"1328",2012-10-28,"I","Western Gull",1
"1329",2012-10-28,"II","Great Blue Heron",1
"1330",2012-10-28,"II","Snowy Egret",2
"1331",2012-10-28,"II","Spotted Sandpiper",1
"1332",2012-10-28,"II","Western Gull",3
"1333",2012-10-28,"III","California Gull",2
"1334",2012-10-28,"III","Great Egret",1
"1335",2012-10-28,"III","Juvenile Gull",1
"1336",2012-10-28,"III","Snowy Egret",5
"1337",2012-10-28,"III","Western Gull",6
"1338",2012-10-28,"III Boulders","Snowy Egret",1
"1339",2012-10-28,"III Rocky Outcrop","Brown Pelican",11
"1340",2012-10-28,"III Rocky Outcrop","Cormorant",6
"1341",2012-10-28,"III Rocky Outcrop","Snowy Egret",1
"1342",2012-10-28,"III Rocky Outcrop","Tern",14
"1343",2012-10-28,"III Rocky Outcrop","Unidentified Gull",150
"1344",2012-11-11,"I","Great Egret",1
"1345",2012-11-11,"I","Snowy Egret",1
"1346",2012-11-11,"I","Western Gull",1
"1347",2012-11-11,"II","Black Phoebe",1
"1348",2012-11-11,"II","Great Blue Heron",1
"1349",2012-11-11,"II","Snowy Egret",1
"1350",2012-11-11,"II","Western Gull",2
"1351",2012-11-11,"III","Great Blue Heron",1
"1352",2012-11-11,"III","Juvenile Gull",1
"1353",2012-11-11,"III","Snowy Egret",3
"1354",2012-11-11,"III","Western Gull",3
"1355",2012-11-11,"III Boulders","Snowy Egret",1
"1356",2012-11-11,"III Boulders","Whimbrel",1
"1357",2012-11-11,"III Rocky Outcrop","Brown Pelican",9
"1358",2012-11-11,"III Rocky Outcrop","Cormorant",9
"1359",2012-11-11,"III Rocky Outcrop","Tern",9
"1360",2012-11-11,"III Rocky Outcrop","Unidentified Gull",120
"1361",2012-11-12,"I","Black Turnstone",1
"1362",2012-11-12,"I","Great Egret",1
"1363",2012-11-12,"I","Snowy Egret",1
"1364",2012-11-12,"I","Western Gull",1
"1365",2012-11-12,"I","Whimbrel",1
"1366",2012-11-12,"II","Great Blue Heron",1
"1367",2012-11-12,"II","Snowy Egret",2
"1368",2012-11-12,"II","Western Gull",1
"1369",2012-11-12,"III","Black Phoebe",1
"1370",2012-11-12,"III","Great Blue Heron",1
"1371",2012-11-12,"III","Snowy Egret",2
"1372",2012-11-12,"III","Western Gull",9
"1373",2012-11-12,"III Rocky Outcrop","Cormorant",2
"1374",2012-11-12,"III Rocky Outcrop","Unidentified Gull",142
"1375",2012-11-13,"I","Black Phoebe",1
"1376",2012-11-13,"I","Great Egret",1
"1377",2012-11-13,"I","Say's Phoebe",1
"1378",2012-11-13,"I","Snowy Egret",3
"1379",2012-11-13,"I","Spotted Sandpiper",1
"1380",2012-11-13,"II","Great Egret",1
"1381",2012-11-13,"II","Western Gull",1
"1382",2012-11-13,"III","Black Phoebe",1
"1383",2012-11-13,"III","Brown Pelican",3
"1384",2012-11-13,"III","California Gull",2
"1385",2012-11-13,"III","Great Blue Heron",1
"1386",2012-11-13,"III","Great Egret",1
"1387",2012-11-13,"III","Heerman's Gull",23
"1388",2012-11-13,"III","Snowy Egret",5
"1389",2012-11-13,"III","Western Gull",3
"1390",2012-11-13,"III Rocky Outcrop","Brown Pelican",15
"1391",2012-11-13,"III Rocky Outcrop","Cormorant",1
"1392",2012-11-13,"III Rocky Outcrop","Snowy Egret",2
"1393",2012-11-13,"III Rocky Outcrop","Tern",18
"1394",2012-11-13,"III Rocky Outcrop","Unidentified Gull",200
"1395",2012-11-13,"III Rocky Outcrop","Whimbrel",1
"1396",2012-11-14,"I","Spotted Sandpiper",1
"1397",2012-11-14,"I","Western Gull",1
"1398",2012-11-14,"II","Black Phoebe",1
"1399",2012-11-14,"II","Great Egret",2
"1400",2012-11-14,"II","Spotted Sandpiper",1
"1401",2012-11-14,"II","Western Gull",2
"1402",2012-11-14,"III","Great Blue Heron",2
"1403",2012-11-14,"III","Great Egret",1
"1404",2012-11-14,"III","Heerman's Gull",2
"1405",2012-11-14,"III","Juvenile Gull",1
"1406",2012-11-14,"III","Say's Phoebe",1
"1407",2012-11-14,"III","Snowy Egret",2
"1408",2012-11-14,"III","Spotted Sandpiper",2
"1409",2012-11-14,"III","Western Gull",1
"1410",2012-11-14,"III Rocky Outcrop","Brown Pelican",5
"1411",2012-11-14,"III Rocky Outcrop","Tern",44
"1412",2012-11-14,"III Rocky Outcrop","Unidentified Gull",65
"1413",2012-11-25,"I","Great Egret",1
"1414",2012-11-25,"I","Snowy Egret",1
"1415",2012-11-25,"I","Western Gull",1
"1416",2012-11-25,"II","Black Phoebe",1
"1417",2012-11-25,"II","Spotted Sandpiper",2
"1418",2012-11-25,"II","Western Gull",2
"1419",2012-11-25,"III","Black Phoebe",2
"1420",2012-11-25,"III","Great Egret",2
"1421",2012-11-25,"III","Say's Phoebe",1
"1422",2012-11-25,"III","Snowy Egret",5
"1423",2012-11-25,"III","Spotted Sandpiper",2
"1424",2012-11-25,"III","Western Gull",2
"1425",2012-11-25,"III Rocky Outcrop","Brown Pelican",51
"1426",2012-11-25,"III Rocky Outcrop","Cormorant",4
"1427",2012-11-25,"III Rocky Outcrop","Tern",11
"1428",2012-11-25,"III Rocky Outcrop","Unidentified Gull",51
"1429",2012-11-26,"I","Spotted Sandpiper",1
"1430",2012-11-26,"I","Western Gull",1
"1431",2012-11-26,"II","Black Phoebe",1
"1432",2012-11-26,"II","Great Egret",2
"1433",2012-11-26,"II","Snowy Egret",1
"1434",2012-11-26,"II","Spotted Sandpiper",1
"1435",2012-11-26,"II","Western Gull",1
"1436",2012-11-26,"III","Black Phoebe",2
"1437",2012-11-26,"III","Great Blue Heron",2
"1438",2012-11-26,"III","Great Egret",1
"1439",2012-11-26,"III","Snowy Egret",8
"1440",2012-11-26,"III","Spotted Sandpiper",1
"1441",2012-11-26,"III","Western Gull",2
"1442",2012-11-26,"III","Whimbrel",1
"1443",2012-11-26,"III Boulders","Snowy Egret",2
"1444",2012-11-26,"III Rocky Outcrop","Brown Pelican",10
"1445",2012-11-26,"III Rocky Outcrop","Cormorant",8
"1446",2012-11-26,"III Rocky Outcrop","Snowy Egret",1
"1447",2012-11-26,"III Rocky Outcrop","Tern",25
"1448",2012-11-26,"III Rocky Outcrop","Unidentified Gull",84
"1449",2012-11-27,"I","Great Egret",1
"1450",2012-11-27,"I","Spotted Sandpiper",1
"1451",2012-11-27,"I","Western Gull",1
"1452",2012-11-27,"II","Great Egret",1
"1453",2012-11-27,"II","Snowy Egret",3
"1454",2012-11-27,"II","Spotted Sandpiper",1
"1455",2012-11-27,"II","Western Gull",1
"1456",2012-11-27,"III","Black Phoebe",2
"1457",2012-11-27,"III","Great Blue Heron",2
"1458",2012-11-27,"III","Great Egret",1
"1459",2012-11-27,"III","Juvenile Gull",4
"1460",2012-11-27,"III","Snowy Egret",4
"1461",2012-11-27,"III","Spotted Sandpiper",4
"1462",2012-11-27,"III","Western Gull",2
"1463",2012-11-27,"III Rocky Outcrop","Brown Pelican",9
"1464",2012-11-27,"III Rocky Outcrop","Cormorant",5
"1465",2012-11-27,"III Rocky Outcrop","Tern",24
"1466",2012-11-27,"III Rocky Outcrop","Unidentified Gull",90
"1467",2012-11-28,"I","Black Phoebe",1
"1468",2012-11-28,"I","Great Egret",1
"1469",2012-11-28,"I","Say's Phoebe",1
"1470",2012-11-28,"II","Black Phoebe",2
"1471",2012-11-28,"II","Western Gull",1
"1472",2012-11-28,"III","Black Phoebe",1
"1473",2012-11-28,"III","Great Blue Heron",1
"1474",2012-11-28,"III","Great Egret",1
"1475",2012-11-28,"III","Juvenile Gull",4
"1476",2012-11-28,"III","Snowy Egret",1
"1477",2012-11-28,"III","Spotted Sandpiper",1
"1478",2012-11-28,"III","Western Gull",6
"1479",2012-11-28,"III","Whimbrel",1
"1480",2012-11-28,"III Rocky Outcrop","Brown Pelican",11
"1481",2012-11-28,"III Rocky Outcrop","Cormorant",4
"1482",2012-11-28,"III Rocky Outcrop","Great Blue Heron",1
"1483",2012-11-28,"III Rocky Outcrop","Tern",33
"1484",2012-11-28,"III Rocky Outcrop","Unidentified Gull",134
"1485",2012-11-29,"I","Great Egret",1
"1486",2012-11-29,"I","Snowy Egret",2
"1487",2012-11-29,"I","Spotted Sandpiper",2
"1488",2012-11-29,"I","Western Gull",1
"1489",2012-11-29,"II","Snowy Egret",1
"1490",2012-11-29,"II","Spotted Sandpiper",1
"1491",2012-11-29,"II","Western Gull",2
"1492",2012-11-29,"III","Black Phoebe",3
"1493",2012-11-29,"III","Great Blue Heron",1
"1494",2012-11-29,"III","Great Egret",2
"1495",2012-11-29,"III","Juvenile Gull",4
"1496",2012-11-29,"III","Spotted Sandpiper",2
"1497",2012-11-29,"III","Western Gull",1
"1498",2012-11-29,"III Boulders","Juvenile Gull",2
"1499",2012-11-29,"III Boulders","Snowy Egret",1
"1500",2012-11-29,"III Boulders","Western Gull",2
"1501",2012-11-29,"III Rocky Outcrop","Brown Pelican",1
"1502",2012-11-29,"III Rocky Outcrop","Great Blue Heron",1
"1503",2012-11-29,"III Rocky Outcrop","Tern",30
"1504",2012-11-29,"III Rocky Outcrop","Unidentified Gull",114
"1505",2012-12-10,"I","Black Phoebe",1
"1506",2012-12-10,"I","Snowy Egret",3
"1507",2012-12-10,"I","Spotted Sandpiper",2
"1508",2012-12-10,"I","Western Gull",1
"1509",2012-12-10,"II","Black Phoebe",1
"1510",2012-12-10,"II","Great Egret",1
"1511",2012-12-10,"II","Western Gull",2
"1512",2012-12-10,"III","Black Phoebe",1
"1513",2012-12-10,"III","Great Blue Heron",2
"1514",2012-12-10,"III","Great Egret",2
"1515",2012-12-10,"III","Juvenile Gull",3
"1516",2012-12-10,"III","Snowy Egret",13
"1517",2012-12-10,"III","Spotted Sandpiper",1
"1518",2012-12-10,"III","Western Gull",6
"1519",2012-12-10,"III Rocky Outcrop","Brown Pelican",19
"1520",2012-12-10,"III Rocky Outcrop","Cormorant",1
"1521",2012-12-10,"III Rocky Outcrop","Snowy Egret",2
"1522",2012-12-10,"III Rocky Outcrop","Tern",9
"1523",2012-12-10,"III Rocky Outcrop","Unidentified Gull",90
"1524",2012-12-10,"III Rocky Outcrop","Whimbrel",1
"1525",2012-12-11,"I","Black Phoebe",1
"1526",2012-12-11,"I","Say's Phoebe",1
"1527",2012-12-11,"I","Snowy Egret",3
"1528",2012-12-11,"I","Spotted Sandpiper",2
"1529",2012-12-11,"I","Western Gull",2
"1530",2012-12-11,"II","Great Blue Heron",1
"1531",2012-12-11,"II","Great Egret",3
"1532",2012-12-11,"II","Spotted Sandpiper",1
"1533",2012-12-11,"II","Western Gull",1
"1534",2012-12-11,"III","Black Phoebe",1
"1535",2012-12-11,"III","California Gull",1
"1536",2012-12-11,"III","Great Blue Heron",1
"1537",2012-12-11,"III","Great Egret",1
"1538",2012-12-11,"III","Juvenile Gull",2
"1539",2012-12-11,"III","Snowy Egret",2
"1540",2012-12-11,"III","Tern",5
"1541",2012-12-11,"III","Western Gull",3
"1542",2012-12-11,"III Rocky Outcrop","Brown Pelican",2
"1543",2012-12-11,"III Rocky Outcrop","Cormorant",3
"1544",2012-12-11,"III Rocky Outcrop","Tern",6
"1545",2012-12-11,"III Rocky Outcrop","Unidentified Gull",100
"1546",2012-12-12,"I","Black Phoebe",1
"1547",2012-12-12,"I","Say's Phoebe",1
"1548",2012-12-12,"I","Snowy Egret",2
"1549",2012-12-12,"I","Western Gull",2
"1550",2012-12-12,"II","Western Gull",3
"1551",2012-12-12,"III","Black Phoebe",1
"1552",2012-12-12,"III","Great Blue Heron",1
"1553",2012-12-12,"III","Great Egret",1
"1554",2012-12-12,"III","Juvenile Gull",1
"1555",2012-12-12,"III","Rock Dove",1
"1556",2012-12-12,"III","Snowy Egret",3
"1557",2012-12-12,"III","Song sparrow",1
"1558",2012-12-12,"III","Wandering Tattler",1
"1559",2012-12-12,"III","Western Gull",1
"1560",2012-12-12,"III","Whimbrel",1
"1561",2012-12-12,"III Rocky Outcrop","Brown Pelican",16
"1562",2012-12-12,"III Rocky Outcrop","Cormorant",3
"1563",2012-12-12,"III Rocky Outcrop","Snowy Egret",1
"1564",2012-12-12,"III Rocky Outcrop","Tern",13
"1565",2012-12-12,"III Rocky Outcrop","Unidentified Gull",120
"1566",2012-12-13,"I","Great Egret",1
"1567",2012-12-13,"I","Say's Phoebe",1
"1568",2012-12-13,"I","Snowy Egret",1
"1569",2012-12-13,"I","Spotted Sandpiper",1
"1570",2012-12-13,"I","Western Gull",1
"1571",2012-12-13,"II","Black Phoebe",1
"1572",2012-12-13,"II","Great Egret",1
"1573",2012-12-13,"II","Western Gull",2
"1574",2012-12-13,"III","Black Phoebe",1
"1575",2012-12-13,"III","California Gull",1
"1576",2012-12-13,"III","Great Blue Heron",1
"1577",2012-12-13,"III","Great Egret",1
"1578",2012-12-13,"III","Snowy Egret",2
"1579",2012-12-13,"III","Tern",4
"1580",2012-12-13,"III","Western Gull",1
"1581",2012-12-13,"III Rocky Outcrop","Brown Pelican",13
"1582",2012-12-13,"III Rocky Outcrop","Great Egret",1
"1583",2012-12-13,"III Rocky Outcrop","Snowy Egret",1
"1584",2012-12-13,"III Rocky Outcrop","Tern",13
"1585",2012-12-13,"III Rocky Outcrop","Unidentified Gull",90
"1586",2012-12-26,"I","Black Phoebe",1
"1587",2012-12-26,"I","Great Egret",1
"1588",2012-12-26,"I","Snowy Egret",6
"1589",2012-12-26,"I","Spotted Sandpiper",2
"1590",2012-12-26,"I","Western Gull",1
"1591",2012-12-26,"I","Yellow Rumped Warbler",1
"1592",2012-12-26,"II","Black Phoebe",1
"1593",2012-12-26,"II","Great Egret",2
"1594",2012-12-26,"II","Snowy Egret",2
"1595",2012-12-26,"II","Sparrow",2
"1596",2012-12-26,"II","Western Gull",2
"1597",2012-12-26,"II","Whimbrel",1
"1598",2012-12-26,"III","Black Phoebe",1
"1599",2012-12-26,"III","Brown Pelican",2
"1600",2012-12-26,"III","Great Blue Heron",2
"1601",2012-12-26,"III","Great Egret",2
"1602",2012-12-26,"III","Juvenile Gull",1
"1603",2012-12-26,"III","Snowy Egret",8
"1604",2012-12-26,"III","Sparrow",1
"1605",2012-12-26,"III Boulders","Snowy Egret",1
"1606",2012-12-26,"III Rocky Outcrop","Brown Pelican",10
"1607",2012-12-26,"III Rocky Outcrop","Cormorant",4
"1608",2012-12-26,"III Rocky Outcrop","Tern",17
"1609",2012-12-26,"III Rocky Outcrop","Unidentified Gull",125
"1610",2012-12-26,"III Rocky Outcrop","Whimbrel",1
"1611",2012-12-27,"I","Spotted Sandpiper",1
"1612",2012-12-27,"I","Western Gull",1
"1613",2012-12-27,"II","Snowy Egret",3
"1614",2012-12-27,"II","Western Gull",3
"1615",2012-12-27,"III","Black Phoebe",2
"1616",2012-12-27,"III","Great Blue Heron",1
"1617",2012-12-27,"III","Great Egret",1
"1618",2012-12-27,"III","Say's Phoebe",1
"1619",2012-12-27,"III","Snowy Egret",4
